Unnamed: 0,Sobreviventes,Status socioeconômico,Gênero das pessoas,Idade das pessoas,Relação familiar de irmãos e cônjuge,Relação familiar de pais e filhos,Tarifa do passageiro,Porto de embarcação,Número da classe social,"Homem, Mulher ou Criança",Homem adulto,Convés,Cidade de embarcação,Pessoas vivas,Pessoas sozinhas
19,vivo,3,Feminino,,0,0,7.225,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Sim,Sim
20,morto,2,Masculino,35.0,0,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
21,vivo,2,Masculino,34.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Sim,Sim
22,vivo,3,Feminino,15.0,0,0,8.0292,Queenstown,Terceira Classe,Criança,Não,,Queenstown,Sim,Sim
23,vivo,1,Masculino,28.0,0,0,35.5,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Southampton,Sim,Sim
24,morto,3,Feminino,8.0,3,1,21.075,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
25,vivo,3,Feminino,38.0,1,5,31.3875,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
26,morto,3,Masculino,,0,0,7.225,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
27,morto,1,Masculino,19.0,3,2,263.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Não
28,vivo,3,Feminino,,0,0,7.8792,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
29,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
30,morto,1,Masculino,40.0,0,0,27.7208,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Não,Sim
31,vivo,1,Feminino,,1,0,146.5208,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
32,vivo,3,Feminino,,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
33,morto,2,Masculino,66.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
34,morto,1,Masculino,28.0,1,0,82.1708,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Não,Não
35,morto,1,Masculino,42.0,1,0,52.0,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Não
36,vivo,3,Masculino,,0,0,7.2292,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Sim,Sim
37,morto,3,Masculino,21.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
38,morto,3,Feminino,18.0,2,0,18.0,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
39,vivo,3,Feminino,14.0,1,0,11.2417,Cherbourg,Terceira Classe,Criança,Não,,Cherbourg,Sim,Não
40,morto,3,Feminino,40.0,1,0,9.475,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
41,morto,2,Feminino,27.0,1,0,21.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Não,Não
42,morto,3,Masculino,,0,0,7.8958,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
43,vivo,2,Feminino,3.0,1,2,41.5792,Cherbourg,Segunda Classe,Criança,Não,,Cherbourg,Sim,Não
44,vivo,3,Feminino,19.0,0,0,7.8792,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
45,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
46,morto,3,Masculino,,1,0,15.5,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Não
47,vivo,3,Feminino,,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
48,morto,3,Masculino,,2,0,21.6792,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Não
49,morto,3,Feminino,18.0,1,0,17.8,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
50,morto,3,Masculino,7.0,4,1,39.6875,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
51,morto,3,Masculino,21.0,0,0,7.8,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
52,vivo,1,Feminino,49.0,1,0,76.7292,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Não
53,vivo,2,Feminino,29.0,1,0,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
54,morto,1,Masculino,65.0,0,1,61.9792,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Cherbourg,Não,Não
55,vivo,1,Masculino,,0,0,35.5,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Sim
56,vivo,2,Feminino,21.0,0,0,10.5,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
57,morto,3,Masculino,28.5,0,0,7.2292,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
58,vivo,2,Feminino,5.0,1,2,27.75,Southampton,Segunda Classe,Criança,Não,,Southampton,Sim,Não
59,morto,3,Masculino,11.0,5,2,46.9,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
60,morto,3,Masculino,22.0,0,0,7.2292,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
61,vivo,1,Feminino,38.0,0,0,80.0,,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,,Sim,Sim
62,morto,1,Masculino,45.0,1,0,83.475,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Não
63,morto,3,Masculino,4.0,3,2,27.9,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
64,morto,1,Masculino,,0,0,27.7208,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Não,Sim
65,vivo,3,Masculino,,1,1,15.2458,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Sim,Não
66,vivo,2,Feminino,29.0,0,0,10.5,Southampton,Segunda Classe,Mulher,Não,Convés Segunda Classe e parte da Terceira Classe,Southampton,Sim,Sim
67,morto,3,Masculino,19.0,0,0,8.1583,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
68,vivo,3,Feminino,17.0,4,2,7.925,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
69,morto,3,Masculino,26.0,2,0,8.6625,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
70,morto,2,Masculino,32.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
71,morto,3,Feminino,16.0,5,2,46.9,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
72,morto,2,Masculino,21.0,0,0,73.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
73,morto,3,Masculino,26.0,1,0,14.4542,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Não
74,vivo,3,Masculino,32.0,0,0,56.4958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
75,morto,3,Masculino,25.0,0,0,7.65,Southampton,Terceira Classe,Homem,Sim,Convés Segunda Classe e parte da Terceira Classe,Southampton,Não,Sim
76,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
77,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
78,vivo,2,Masculino,0.83,0,2,29.0,Southampton,Segunda Classe,Criança,Não,,Southampton,Sim,Não
79,vivo,3,Feminino,30.0,0,0,12.475,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
80,morto,3,Masculino,22.0,0,0,9.0,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
81,vivo,3,Masculino,29.0,0,0,9.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
82,vivo,3,Feminino,,0,0,7.7875,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
83,morto,1,Masculino,28.0,0,0,47.1,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
84,vivo,2,Feminino,17.0,0,0,10.5,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
85,vivo,3,Feminino,33.0,3,0,15.85,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
86,morto,3,Masculino,16.0,1,3,34.375,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
87,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
88,vivo,1,Feminino,23.0,3,2,263.0,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
89,morto,3,Masculino,24.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
90,morto,3,Masculino,29.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
91,morto,3,Masculino,20.0,0,0,7.8542,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
92,morto,1,Masculino,46.0,1,0,61.175,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Não,Não
93,morto,3,Masculino,26.0,1,2,20.575,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
94,morto,3,Masculino,59.0,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
95,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
96,morto,1,Masculino,71.0,0,0,34.6542,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Cherbourg,Não,Sim
97,vivo,1,Masculino,23.0,0,1,63.3583,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Não
98,vivo,2,Feminino,34.0,0,1,23.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
99,morto,2,Masculino,34.0,1,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
100,morto,3,Feminino,28.0,0,0,7.8958,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
101,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
102,morto,1,Masculino,21.0,0,1,77.2875,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Não,Não
103,morto,3,Masculino,33.0,0,0,8.6542,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
104,morto,3,Masculino,37.0,2,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
105,morto,3,Masculino,28.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
106,vivo,3,Feminino,21.0,0,0,7.65,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
107,vivo,3,Masculino,,0,0,7.775,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
108,morto,3,Masculino,38.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
109,vivo,3,Feminino,,1,0,24.15,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Não
110,morto,1,Masculino,47.0,0,0,52.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Sim
111,morto,3,Feminino,14.5,1,0,14.4542,Cherbourg,Terceira Classe,Criança,Não,,Cherbourg,Não,Não
112,morto,3,Masculino,22.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
113,morto,3,Feminino,20.0,1,0,9.825,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
114,morto,3,Feminino,17.0,0,0,14.4583,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Não,Sim
115,morto,3,Masculino,21.0,0,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
116,morto,3,Masculino,70.5,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
117,morto,2,Masculino,29.0,1,0,21.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
118,morto,1,Masculino,24.0,0,1,247.5208,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Cherbourg,Não,Não
119,morto,3,Feminino,2.0,4,2,31.275,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
120,morto,2,Masculino,21.0,2,0,73.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
121,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
122,morto,2,Masculino,32.5,1,0,30.0708,Cherbourg,Segunda Classe,Homem,Sim,,Cherbourg,Não,Não
123,vivo,2,Feminino,32.5,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Sim
124,morto,1,Masculino,54.0,0,1,77.2875,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Não,Não
125,vivo,3,Masculino,12.0,1,0,11.2417,Cherbourg,Terceira Classe,Criança,Não,,Cherbourg,Sim,Não
126,morto,3,Masculino,,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
127,vivo,3,Masculino,24.0,0,0,7.1417,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
128,vivo,3,Feminino,,1,1,22.3583,Cherbourg,Terceira Classe,Mulher,Não,Convés Segunda Classe e parte da Terceira Classe,Cherbourg,Sim,Não
129,morto,3,Masculino,45.0,0,0,6.975,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
130,morto,3,Masculino,33.0,0,0,7.8958,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
131,morto,3,Masculino,20.0,0,0,7.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
132,morto,3,Feminino,47.0,1,0,14.5,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
133,vivo,2,Feminino,29.0,1,0,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
134,morto,2,Masculino,25.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
135,morto,2,Masculino,23.0,0,0,15.0458,Cherbourg,Segunda Classe,Homem,Sim,,Cherbourg,Não,Sim
136,vivo,1,Feminino,19.0,0,2,26.2833,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Sim,Não
137,morto,1,Masculino,37.0,1,0,53.1,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Não
138,morto,3,Masculino,16.0,0,0,9.2167,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
139,morto,1,Masculino,24.0,0,0,79.2,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Cherbourg,Não,Sim
140,morto,3,Feminino,,0,2,15.2458,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Não,Não
141,vivo,3,Feminino,22.0,0,0,7.75,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
142,vivo,3,Feminino,24.0,1,0,15.85,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
143,morto,3,Masculino,19.0,0,0,6.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
144,morto,2,Masculino,18.0,0,0,11.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
145,morto,2,Masculino,19.0,1,1,36.75,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
146,vivo,3,Masculino,27.0,0,0,7.7958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
147,morto,3,Feminino,9.0,2,2,34.375,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
148,morto,2,Masculino,36.5,0,2,26.0,Southampton,Segunda Classe,Homem,Sim,Convés Segunda Classe e parte da Terceira Classe,Southampton,Não,Não
149,morto,2,Masculino,42.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
150,morto,2,Masculino,51.0,0,0,12.525,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
151,vivo,1,Feminino,22.0,1,0,66.6,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
152,morto,3,Masculino,55.5,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
153,morto,3,Masculino,40.5,0,2,14.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
154,morto,3,Masculino,,0,0,7.3125,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
155,morto,1,Masculino,51.0,0,1,61.3792,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Não,Não
156,vivo,3,Feminino,16.0,0,0,7.7333,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
157,morto,3,Masculino,30.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
158,morto,3,Masculino,,0,0,8.6625,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
159,morto,3,Masculino,,8,2,69.55,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
160,morto,3,Masculino,44.0,0,1,16.1,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
161,vivo,2,Feminino,40.0,0,0,15.75,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
162,morto,3,Masculino,26.0,0,0,7.775,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
163,morto,3,Masculino,17.0,0,0,8.6625,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
164,morto,3,Masculino,1.0,4,1,39.6875,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
165,vivo,3,Masculino,9.0,0,2,20.525,Southampton,Terceira Classe,Criança,Não,,Southampton,Sim,Não
166,vivo,1,Feminino,,0,1,55.0,Southampton,Primeira Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Não
167,morto,3,Feminino,45.0,1,4,27.9,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
168,morto,1,Masculino,,0,0,25.925,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
169,morto,3,Masculino,28.0,0,0,56.4958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
170,morto,1,Masculino,61.0,0,0,33.5,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Southampton,Não,Sim
171,morto,3,Masculino,4.0,4,1,29.125,Queenstown,Terceira Classe,Criança,Não,,Queenstown,Não,Não
172,vivo,3,Feminino,1.0,1,1,11.1333,Southampton,Terceira Classe,Criança,Não,,Southampton,Sim,Não
173,morto,3,Masculino,21.0,0,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
174,morto,1,Masculino,56.0,0,0,30.6958,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Cherbourg,Não,Sim
175,morto,3,Masculino,18.0,1,1,7.8542,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
176,morto,3,Masculino,,3,1,25.4667,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
177,morto,1,Feminino,50.0,0,0,28.7125,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Cherbourg,Não,Sim
178,morto,2,Masculino,30.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
179,morto,3,Masculino,36.0,0,0,0.0,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
180,morto,3,Feminino,,8,2,69.55,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
181,morto,2,Masculino,,0,0,15.05,Cherbourg,Segunda Classe,Homem,Sim,,Cherbourg,Não,Sim
182,morto,3,Masculino,9.0,4,2,31.3875,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
183,vivo,2,Masculino,1.0,2,1,39.0,Southampton,Segunda Classe,Criança,Não,Convés Segunda Classe e parte da Terceira Classe,Southampton,Sim,Não
184,vivo,3,Feminino,4.0,0,2,22.025,Southampton,Terceira Classe,Criança,Não,,Southampton,Sim,Não
185,morto,1,Masculino,,0,0,50.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Southampton,Não,Sim
186,vivo,3,Feminino,,1,0,15.5,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Não
187,vivo,1,Masculino,45.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,,Southampton,Sim,Sim
188,morto,3,Masculino,40.0,1,1,15.5,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Não
189,morto,3,Masculino,36.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
190,vivo,2,Feminino,32.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
191,morto,2,Masculino,19.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
192,vivo,3,Feminino,19.0,1,0,7.8542,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
193,vivo,2,Masculino,3.0,1,1,26.0,Southampton,Segunda Classe,Criança,Não,Convés Segunda Classe e parte da Terceira Classe,Southampton,Sim,Não
194,vivo,1,Feminino,44.0,0,0,27.7208,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Sim
195,vivo,1,Feminino,58.0,0,0,146.5208,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Sim
196,morto,3,Masculino,,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
197,morto,3,Masculino,42.0,0,1,8.4042,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
198,vivo,3,Feminino,,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
199,morto,2,Feminino,24.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Não,Sim
200,morto,3,Masculino,28.0,0,0,9.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
201,morto,3,Masculino,,8,2,69.55,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
202,morto,3,Masculino,34.0,0,0,6.4958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
203,morto,3,Masculino,45.5,0,0,7.225,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
204,vivo,3,Masculino,18.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
205,morto,3,Feminino,2.0,0,1,10.4625,Southampton,Terceira Classe,Criança,Não,Convés Terceira Classe e áreas de serviço para tripulação,Southampton,Não,Não
206,morto,3,Masculino,32.0,1,0,15.85,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
207,vivo,3,Masculino,26.0,0,0,18.7875,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Sim,Sim
208,vivo,3,Feminino,16.0,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
209,vivo,1,Masculino,40.0,0,0,31.0,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Cherbourg,Sim,Sim
210,morto,3,Masculino,24.0,0,0,7.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
211,vivo,2,Feminino,35.0,0,0,21.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
212,morto,3,Masculino,22.0,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
213,morto,2,Masculino,30.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
214,morto,3,Masculino,,1,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Não
215,vivo,1,Feminino,31.0,1,0,113.275,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Não
216,vivo,3,Feminino,27.0,0,0,7.925,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
217,morto,2,Masculino,42.0,1,0,27.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
